x,y,z,vx,vy,vz
126878406.3585586,89994285.21705393,-13558627.46473405,-19.92029294890003,12.85202181677622,1.598089037867446
125140973.9281434,91092953.87166056,-13418809.48694637,-20.29811882505237,12.57889999008479,1.638468437442088
123370879.8526205,92167704.93323913,-13275494.86628607,-20.67634641362655,12.29834029423417,1.679030208059414
121568090.2927951,93217886.9476517,-13128667.75449073,-21.05495494336118,12.01013699454061,1.71977643387099
119732573.3803523,94242830.28608863,-12978312.13177247,-21.43391950576227,11.71407504289385,1.760708997307205
117864299.5906834,95241846.32116456,-12824411.82529693,-21.81321069394961,11.40992962861489,1.801829554346381
115963242.148352,96214226.56311575,-12666950.52991128,-22.19279420777029,11.0974657037972,1.843139507140703
114029377.4682521,97159241.75383489,-12505911.83136148,-22.57263042186083,10.77643748174425,1.884639973720045
112062685.6358187,98076140.91635734,-12341279.23226443,-22.95267391298618,10.44658790706948,1.926331754463145
110063150.9299794,98964150.3572868,-12173036.18112899,-23.33287294258868,10.10764809598441,1.968215294989629
108030762.3929092,99822472.61951968,-12001166.1047515,-23.71316889003909,9.75933674526625,2.01029064508615
105965514.4510614,100650285.3824963,-11825652.44434685,-24.09349563158894,9.401359508371481,2.052557413234339
103867407.5923989,101446740.3070734,-11646478.69581538,-24.47377885947373,9.033408337149742,2.09501471625726
101736449.1052607,102210961.8219784,-11463628.4545907,-24.85393533500261,8.65516078761572,2.137661123543838
99572653.88485792,102942045.8486762,-11277085.46556205,-25.23387206878506,8.266279288261526,2.18049459524626
97376045.31401546,103639058.4613454,-11086833.67862098,-25.61348542048002,7.866410369442416,2.223512413773236
95146656.22547497,104301034.4785428,-10892857.31044362,-25.99266010959878,7.455183852454776,2.266711107820841
92884529.95384182,104926975.9830166,-10695140.91318922,-26.37126812793775,7.032211997048609,2.310086368091453
90589721.48612107,105515850.7660293,-10493669.45087359,-26.74916754315273,6.597088606299666,2.353632953748796
88262298.72074333,106066590.6924696,-10288428.384263,-27.1262011817931,6.149388088007136,2.397344588541715
85902343.84604684,106578089.9829692,-10079403.76523182,-27.50219517878448,5.688664472104906,2.441213845399545
83509954.85037035,107049203.4092209,-9866582.341637067,-27.87695737886315,5.214450384000622,2.485232018155169
81085247.17723246,107478744.3987017,-9649951.673885636,-28.25027557379903,4.726255974286887,2.529388978888717
78628355.54055059,107865483.0450772,-9429500.264508728,-28.62191555739821,4.22356780597786,2.573673019197269
76139435.91649444,108208144.0206964,-9205217.702212349,-28.99161897820287,3.705847701254791,2.618070673489117
73618667.73040284,108505404.3878036,-8977094.822048016,-29.3591009675012,3.17253155083096,2.662566522165207
71066256.25923507,108755891.3054178,-8745123.883542642,-29.72404751769945,2.623028090362538,2.707142972286237
68482435.27230579,108958179.6292842,-8509298.768847648,-30.08611258324623,2.056717650005286,2.75178001302667
65867469.93558811,109110789.402912,-8269615.203213766,-30.4449148731496,1.472950885302455,2.796454942884485
63221660.00769415,109212183.2385296,-8026071.000376251,-30.80003430060277,0.8710475000609641,2.841142065237535
60545343.35878579,109260763.5878344,-7778666.335747655,-31.15100805140377,0.2502949750516796,2.885812348424503
57838899.84715919,109254869.9037705,-7527404.05066479,-31.49732622856687,-0.3900526799150525,2.930433046054192
55102755.59212605,109192775.6962765,-7272289.991330624,-31.83842702590517,-1.050776128317902,2.974967272729756
52337387.68610912,109072685.4871019,-7013333.386531308,-32.1736913782799,-1.732691835833013,3.019373529792368
49543329.39362264,108892731.6714761,-6750547.268703349,-32.50243703077621,-2.436653091149002,3.063605175051484
46721175.89004673,108650971.2977631,-6483948.943475351,-32.82391196318122,-3.163550875729984,3.107609829761416
43871590.59886727,108345382.7803608,-6213560.513425604,-33.13728709998612,-3.914314529528884,3.151328715336872
40995312.19235758,107973862.5661932,-5939409.462479845,-33.44164822966798,-4.689912147509263,3.194695911463352
